text,label
tech conference held at kolkata for telecom employees,0
virus attack in bangalore,1
exploit compromises systems at government in delhi,1
phishing detected in bangalore affecting e-commerce,1
malware targets delhi government,1
tech conference during project work in chennai,0
ransomware detected in ahmedabad affecting defense,1
quiet day during project work in ahmedabad,0
project meeting at telecom in bangalore,0
software update in ahmedabad,0
happy coding at government in kolkata,0
hacked compromises systems at IT firms in mumbai,1
mumbai hospitals reports trojan incident,1
successful demo during project work in chennai,0
training session at e-commerce in pune,0
exploit attack in pune,1
password leak detected in delhi affecting government,1
project meeting during project work in mumbai,0
airports in pune hit by virus,1
hacked compromises systems at IT firms in pune,1
telecom in delhi reported quiet day,0
project meeting at railways in mumbai,0
universities in chennai reported training session,0
malware detected in mumbai affecting hospitals,1
backdoor targets pune telecom,1
project meeting during project work in mumbai,0
ddos attack in hyderabad,1
defense in ahmedabad hit by trojan,1
weekend hackathon during project work in mumbai,0
malware targets hyderabad banks,1
trojan attack in pune,1
trojan attack in ahmedabad,1
team lunch during project work in chennai,0
new app launch at airports in chennai,0
government in delhi hit by data breach,1
quiet day at hospitals in hyderabad,0
universities in chennai reported training session,0
defense in hyderabad reported happy coding,0
normal operations during project work in hyderabad,0
spyware detected in kolkata affecting universities,1
exploit hits mumbai hospitals,1
virus attack in mumbai,1
exploit targets bangalore airports,1
trojan compromises systems at hospitals in kolkata,1
spyware hits pune airports,1
data breach targets mumbai universities,1
virus hits ahmedabad universities,1
phishing attack in chennai,1
good morning in delhi,0
new app launch at universities in bangalore,0
malware targets bangalore e-commerce,1
e-commerce in hyderabad reported successful demo,0
quiet day at government in pune,0
normal operations at e-commerce in ahmedabad,0
team lunch at airports in hyderabad,0
exploit compromises systems at universities in kolkata,1
tech conference during project work in hyderabad,0
data breach compromises systems at railways in chennai,1
hacked targets bangalore banks,1
password leak compromises systems at airports in hyderabad,1
team lunch at telecom in pune,0
team lunch held at hyderabad for IT firms employees,0
team lunch in delhi,0
quiet day at banks in hyderabad,0
normal operations held at hyderabad for government employees,0
good morning during project work in chennai,0
exploit hits ahmedabad IT firms,1
team lunch in hyderabad,0
exploit hits chennai e-commerce,1
ahmedabad railways reports password leak incident,1
software update during project work in pune,0
backdoor detected in bangalore affecting telecom,1
team lunch held at pune for airports employees,0
universities in kolkata hit by virus,1
virus hits pune IT firms,1
normal operations during project work in kolkata,0
team lunch held at bangalore for banks employees,0
bangalore universities reports malware incident,1
exploit compromises systems at government in kolkata,1
normal operations held at kolkata for telecom employees,0
weekend hackathon at e-commerce in kolkata,0
ddos targets pune railways,1
telecom in chennai reported software update,0
airports in kolkata reported weekend hackathon,0
successful demo held at delhi for railways employees,0
weekend hackathon in kolkata,0
bangalore government reports cyberattack incident,1
IT firms in delhi reported good morning,0
trojan compromises systems at airports in bangalore,1
successful demo held at chennai for hospitals employees,0
ddos attack in ahmedabad,1
successful demo held at ahmedabad for defense employees,0
mumbai IT firms reports spyware incident,1
normal operations held at hyderabad for telecom employees,0
airports in ahmedabad reported tech conference,0
banks in pune reported new app launch,0
hacked compromises systems at airports in pune,1
exploit compromises systems at IT firms in delhi,1
exploit compromises systems at banks in chennai,1
railways in mumbai reported new app launch,0
good morning held at hyderabad for e-commerce employees,0
ransomware targets hyderabad IT firms,1
happy coding during project work in mumbai,0
ransomware compromises systems at e-commerce in chennai,1
airports in ahmedabad hit by backdoor,1
quiet day in pune,0
trojan compromises systems at government in kolkata,1
spyware detected in mumbai affecting universities,1
normal operations at telecom in pune,0
data breach detected in bangalore affecting IT firms,1
data breach compromises systems at airports in mumbai,1
e-commerce in hyderabad reported software update,0
e-commerce in mumbai reported training session,0
training session during project work in kolkata,0
new app launch at hospitals in hyderabad,0
airports in bangalore reported quiet day,0
banks in hyderabad hit by spyware,1
spyware attack in hyderabad,1
training session held at bangalore for airports employees,0
weekend hackathon in chennai,0
trojan targets kolkata government,1
backdoor hits kolkata IT firms,1
trojan attack in mumbai,1
weekend hackathon in kolkata,0
airports in delhi hit by hacked,1
backdoor attack in kolkata,1
backdoor attack in hyderabad,1
trojan attack in bangalore,1
data breach targets bangalore banks,1
exploit attack in hyderabad,1
cyberattack detected in ahmedabad affecting banks,1
hacked compromises systems at universities in kolkata,1
hyderabad IT firms reports hacked incident,1
cyberattack hits hyderabad hospitals,1
new app launch in bangalore,0
defense in chennai reported training session,0
successful demo held at mumbai for banks employees,0
tech conference at airports in chennai,0
quiet day at hospitals in hyderabad,0
universities in pune reported training session,0
tech conference in kolkata,0
data breach detected in bangalore affecting hospitals,1
universities in ahmedabad hit by exploit,1
good morning during project work in ahmedabad,0
hacked targets bangalore hospitals,1
cyberattack detected in kolkata affecting defense,1
quiet day in hyderabad,0
defense in hyderabad reported software update,0
data breach targets hyderabad airports,1
phishing detected in delhi affecting telecom,1
exploit detected in ahmedabad affecting hospitals,1
happy coding during project work in delhi,0
happy coding at banks in kolkata,0
kolkata airports reports virus incident,1
software update at universities in ahmedabad,0
quiet day at banks in bangalore,0
team lunch during project work in bangalore,0
backdoor targets chennai e-commerce,1
chennai airports reports backdoor incident,1
training session during project work in bangalore,0
universities in bangalore reported successful demo,0
hospitals in pune hit by phishing,1
spyware detected in chennai affecting universities,1
